time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
7.4,-0.035,0.175,0.029,0.031,-0.043,0.057,-0.02,0.02
7.45,-0.035,0.192,0.022,0.024,-0.043,0.074,-0.01,0.01
7.5,-0.035,0.192,0.014,0.014,-0.043,0.074,0,0
7.55,-0.035,0.192,0.004,0.003,-0.043,0.074,0.01,-0.02
7.6,-0.035,0.192,-0.006,-0.009,-0.043,0.074,0.02,-0.02
7.65,-0.017,0.175,-0.015,-0.02,-0.025,0.057,0.03,-0.03
7.7,-0.017,0.157,-0.024,-0.029,-0.025,0.039,0.03,-0.04
7.75,0,0.14,-0.031,-0.037,-0.008,0.022,0.04,-0.04
7.8,0.017,0.122,-0.036,-0.041,0.009,0.004,0.04,-0.04
7.85,0.017,0.105,-0.038,-0.043,0.009,-0.013,0.04,-0.04
7.9,0.035,0.087,-0.037,-0.042,0.027,-0.031,0.03,-0.04
7.95,0.052,0.07,-0.034,-0.037,0.044,-0.048,0.02,-0.03
8,0.052,0.052,-0.028,-0.03,0.044,-0.066,0.02,-0.02
8.05,0.052,0.052,-0.02,-0.021,0.044,-0.066,0.01,-0.01
8.1,0.052,0.052,-0.01,-0.01,0.044,-0.066,0,0
8.15,0.052,0.052,0,0.001,0.044,-0.066,-0.01,0.01
8.2,0.052,0.052,0.01,0.013,0.044,-0.066,-0.02,0.02
8.25,0.035,0.07,0.018,0.023,0.027,-0.048,-0.03,0.03
8.3,0.017,0.087,0.026,0.031,0.009,-0.031,-0.04,0.03
8.35,0.017,0.105,0.031,0.036,0.009,-0.013,-0.04,0.04
8.4,0,0.122,0.033,0.039,-0.008,0.004,-0.04,0.04
8.45,-0.017,0.14,0.033,0.038,-0.025,0.022,-0.04,0.04
8.5,-0.017,0.157,0.03,0.035,-0.025,0.039,-0.04,0.03
8.55,-0.035,0.175,0.025,0.028,-0.043,0.057,-0.03,0.02
8.6,-0.035,0.192,0.017,0.019,-0.043,0.074,-0.02,0.02
8.65,-0.035,0.192,0.008,0.009,-0.043,0.074,-0.01,0.01
8.7,-0.035,0.192,-0.002,-0.002,-0.043,0.074,0,-0.01
8.75,-0.035,0.192,-0.012,-0.014,-0.043,0.074,0.01,-0.02
8.8,-0.017,0.175,-0.021,-0.024,-0.025,0.057,0.02,-0.03
8.85,-0.017,0.157,-0.029,-0.033,-0.025,0.039,0.03,-0.03
8.9,0,0.14,-0.034,-0.039,-0.008,0.022,0.03,-0.04
8.95,0.017,0.122,-0.037,-0.043,0.009,0.004,0.04,-0.04
9,0.017,0.105,-0.038,-0.043,0.009,-0.013,0.04,-0.04
9.05,0.035,0.087,-0.035,-0.04,0.027,-0.031,0.04,-0.04
9.1,0.052,0.07,-0.03,-0.035,0.044,-0.048,0.03,-0.04
9.15,0.052,0.052,-0.022,-0.026,0.044,-0.066,0.02,-0.03
9.2,0.052,0.052,-0.014,-0.016,0.044,-0.066,0.02,-0.02
9.25,0.052,0.052,-0.004,-0.005,0.044,-0.066,0.01,-0.01
9.3,0.052,0.052,0.006,0.007,0.044,-0.066,0,0
9.35,0.052,0.052,0.016,0.017,0.044,-0.066,-0.02,0.01
9.4,0.035,0.07,0.024,0.027,0.027,-0.048,-0.02,0.02
9.45,0.017,0.087,0.029,0.034,0.009,-0.031,-0.03,0.03
9.5,0.017,0.105,0.033,0.038,0.009,-0.013,-0.04,0.03
9.55,0,0.122,0.034,0.039,-0.008,0.004,-0.04,0.04
9.6,-0.017,0.14,0.032,0.037,-0.025,0.022,-0.04,0.04
9.65,-0.017,0.157,0.027,0.032,-0.025,0.039,-0.04,0.04
9.7,-0.035,0.175,0.02,0.024,-0.043,0.057,-0.04,0.03
9.75,-0.035,0.175,0.011,0.015,-0.043,0.057,-0.03,0.02
9.8,-0.035,0.192,0.001,0.004,-0.043,0.074,-0.02,0.02
9.85,-0.035,0.192,-0.009,-0.008,-0.043,0.074,-0.01,0.01
9.9,-0.035,0.192,-0.018,-0.019,-0.043,0.074,0,-0.01
9.95,-0.017,0.175,-0.027,-0.028,-0.025,0.057,0.01,-0.02
10,-0.017,0.157,-0.033,-0.036,-0.025,0.039,0.02,-0.03
10.05,0,0.157,-0.037,-0.041,-0.008,0.039,0.03,-0.03
10.1,0.017,0.122,-0.038,-0.043,0.009,0.004,0.03,-0.04
10.15,0.017,0.105,-0.036,-0.042,0.009,-0.013,0.04,-0.04
10.2,0.035,0.087,-0.032,-0.038,0.027,-0.031,0.04,-0.04
10.25,0.052,0.07,-0.025,-0.031,0.044,-0.048,0.04,-0.04
10.3,0.052,0.07,-0.017,-0.022,0.044,-0.048,0.03,-0.04
10.35,0.052,0.052,-0.007,-0.011,0.044,-0.066,0.02,-0.03
10.4,0.052,0.052,0.003,0,0.044,-0.066,0.02,-0.02
10.45,0.052,0.052,0.013,0.012,0.044,-0.066,0.01,-0.01
10.5,0.052,0.052,0.021,0.022,0.044,-0.066,-0.01,0
10.55,0.035,0.07,0.028,0.03,0.027,-0.048,-0.02,0.01
10.6,0.017,0.087,0.032,0.036,0.009,-0.031,-0.03,0.02
10.65,0.017,0.105,0.034,0.038,0.009,-0.013,-0.03,0.03
10.7,0,0.122,0.033,0.038,-0.008,0.004,-0.04,0.03
10.75,-0.017,0.14,0.029,0.035,-0.025,0.022,-0.04,0.04
10.8,-0.017,0.157,0.023,0.028,-0.025,0.039,-0.04,0.04
10.85,-0.035,0.175,0.015,0.02,-0.043,0.057,-0.04,0.04
10.9,-0.035,0.175,0.005,0.01,-0.043,0.057,-0.04,0.03
10.95,-0.035,0.192,-0.005,-0.002,-0.043,0.074,-0.03,0.02
11,-0.035,0.192,-0.015,-0.013,-0.043,0.074,-0.02,0.01
11.05,-0.035,0.192,-0.024,-0.023,-0.043,0.074,-0.01,0
11.1,-0.017,0.175,-0.031,-0.032,-0.025,0.057,0,-0.01
11.15,-0.017,0.175,-0.036,-0.038,-0.025,0.057,0.01,-0.02
11.2,0,0.157,-0.039,-0.042,-0.008,0.039,0.02,-0.03
11.25,0.017,0.14,-0.038,-0.042,0.009,0.022,0.03,-0.03
11.3,0.017,0.122,-0.035,-0.04,0.009,0.004,0.03,-0.04
11.35,0.035,0.087,-0.029,-0.034,0.027,-0.031,0.04,-0.04
11.4,0.052,0.07,-0.021,-0.026,0.044,-0.048,0.04,-0.04
11.45,0.052,0.07,-0.011,-0.016,0.044,-0.048,0.04,-0.04
11.5,0.052,0.052,-0.001,-0.005,0.044,-0.066,0.03,-0.04
11.55,0.052,0.052,0.009,0.006,0.044,-0.066,0.02,-0.03
11.6,0.052,0.052,0.019,0.016,0.044,-0.066,0.02,-0.02
11.65,0.052,0.052,0.026,0.025,0.044,-0.066,0.01,-0.01
11.7,0.035,0.07,0.032,0.032,0.027,-0.048,-0.01,0
11.75,0.017,0.07,0.035,0.037,0.009,-0.048,-0.02,0.01
11.8,0.017,0.087,0.035,0.038,0.009,-0.031,-0.03,0.02
11.85,0,0.105,0.032,0.036,-0.008,-0.013,-0.03,0.03
11.9,-0.017,0.122,0.026,0.031,-0.025,0.004,-0.04,0.03
11.95,-0.017,0.157,0.018,0.024,-0.025,0.039,-0.04,0.04
12,-0.035,0.157,0.009,0.015,-0.043,0.039,-0.04,0.04
12.05,-0.035,0.175,-0.001,0.004,-0.043,0.057,-0.04,0.04
12.1,-0.035,0.192,-0.012,-0.007,-0.043,0.074,-0.04,0.03
12.15,-0.035,0.192,-0.021,-0.018,-0.043,0.074,-0.03,0.02
12.2,-0.035,0.192,-0.03,-0.027,-0.043,0.074,-0.02,0.01
12.25,-0.035,0.175,-0.036,-0.035,-0.043,0.057,-0.01,0
12.3,-0.017,0.175,-0.039,-0.039,-0.025,0.057,0,-0.01
12.35,0,0.157,-0.04,-0.042,-0.008,0.039,0.01,-0.02
12.4,0.017,0.14,-0.037,-0.04,0.009,0.022,0.02,-0.03
12.45,0.017,0.122,-0.032,-0.036,0.009,0.004,0.03,-0.03
12.5,0.035,0.105,-0.025,-0.03,0.027,-0.013,0.03,-0.04
12.55,0.052,0.087,-0.016,-0.021,0.044,-0.031,0.04,-0.04
12.6,0.052,0.07,-0.005,-0.011,0.044,-0.048,0.04,-0.04
12.65,0.052,0.052,0.005,0,0.044,-0.066,0.04,-0.04
12.7,0.052,0.052,0.015,0.011,0.044,-0.066,0.03,-0.04
12.75,0.052,0.052,0.024,0.02,0.044,-0.066,0.02,-0.03
12.8,0.052,0.052,0.031,0.028,0.044,-0.066,0.01,-0.02
12.85,0.035,0.07,0.035,0.034,0.027,-0.048,0,-0.01
12.9,0.035,0.07,0.036,0.037,0.027,-0.048,-0.01,0
12.95,0.017,0.087,0.034,0.036,0.009,-0.031,-0.02,0.01
13,0,0.105,0.03,0.033,-0.008,-0.013,-0.03,0.02
13.05,-0.017,0.122,0.023,0.027,-0.025,0.004,-0.03,0.03
13.1,-0.017,0.14,0.014,0.019,-0.025,0.022,-0.04,0.03
13.15,-0.035,0.157,0.003,0.009,-0.043,0.039,-0.04,0.04
13.2,-0.035,0.175,-0.007,-0.002,-0.043,0.057,-0.04,0.04
13.25,-0.035,0.175,-0.018,-0.012,-0.043,0.057,-0.04,0.04
13.3,-0.035,0.192,-0.027,-0.022,-0.043,0.074,-0.04,0.03
13.35,-0.035,0.192,-0.034,-0.031,-0.043,0.074,-0.03,0.02
13.4,-0.035,0.175,-0.039,-0.037,-0.043,0.057,-0.02,0.01
13.45,-0.017,0.175,-0.041,-0.04,-0.025,0.057,-0.01,0
13.5,0,0.157,-0.04,-0.04,-0.008,0.039,0,-0.01
13.55,0,0.14,-0.036,-0.038,-0.008,0.022,0.01,-0.02
13.6,0.017,0.122,-0.029,-0.032,0.009,0.004,0.02,-0.03
13.65,0.035,0.105,-0.02,-0.025,0.027,-0.013,0.03,-0.03
13.7,0.052,0.087,-0.01,-0.015,0.044,-0.031,0.03,-0.04
13.75,0.052,0.07,0.001,-0.005,0.044,-0.048,0.04,-0.04
13.8,0.052,0.052,0.011,0.006,0.044,-0.066,0.04,-0.04
13.85,0.052,0.052,0.021,0.016,0.044,-0.066,0.04,-0.04
13.9,0.052,0.052,0.029,0.024,0.044,-0.066,0.03,-0.04
13.95,0.052,0.052,0.034,0.031,0.044,-0.066,0.02,-0.03
14,0.035,0.07,0.037,0.035,0.027,-0.048,0.01,-0.02
14.05,0.035,0.07,0.037,0.036,0.027,-0.048,0,-0.01
14.1,0.017,0.087,0.033,0.034,0.009,-0.031,-0.01,0
14.15,0,0.105,0.027,0.029,-0.008,-0.013,-0.02,0.01
14.2,-0.017,0.122,0.019,0.022,-0.025,0.004,-0.03,0.02
14.25,-0.017,0.14,0.009,0.013,-0.025,0.022,-0.03,0.03
14.3,-0.035,0.157,-0.002,0.003,-0.043,0.039,-0.04,0.03
14.35,-0.035,0.175,-0.013,-0.008,-0.043,0.057,-0.04,0.04
14.4,-0.035,0.175,-0.023,-0.018,-0.043,0.057,-0.04,0.04
14.45,-0.035,0.192,-0.032,-0.026,-0.043,0.074,-0.04,0.04
14.5,-0.035,0.192,-0.038,-0.033,-0.043,0.074,-0.04,0.03
14.55,-0.035,0.175,-0.041,-0.038,-0.043,0.057,-0.03,0.02
14.6,-0.017,0.175,-0.042,-0.039,-0.025,0.057,-0.02,0.01
14.65,0,0.157,-0.039,-0.038,-0.008,0.039,-0.01,0
14.7,0,0.14,-0.033,-0.034,-0.008,0.022,0,-0.01
14.75,0.017,0.122,-0.025,-0.027,0.009,0.004,0.01,-0.02
14.8,0.035,0.105,-0.016,-0.019,0.027,-0.013,0.02,-0.03
14.85,0.035,0.087,-0.005,-0.009,0.027,-0.031,0.03,-0.03
14.9,0.052,0.07,0.006,0.001,0.044,-0.048,0.03,-0.04
14.95,0.052,0.07,0.017,0.011,0.044,-0.048,0.04,-0.04
15,0.052,0.052,0.026,0.02,0.044,-0.066,0.04,-0.04
15.05,0.052,0.052,0.033,0.028,0.044,-0.066,0.04,-0.04
15.1,0.052,0.052,0.037,0.032,0.044,-0.066,0.03,-0.04
15.15,0.035,0.052,0.038,0.035,0.027,-0.066,0.02,-0.03
15.2,0.035,0.07,0.036,0.034,0.027,-0.048,0.01,-0.02
15.25,0.017,0.087,0.031,0.03,0.009,-0.031,0,-0.01
15.3,0,0.105,0.024,0.024,-0.008,-0.013,-0.01,0
15.35,-0.017,0.122,0.014,0.016,-0.025,0.004,-0.02,0.01
15.4,-0.017,0.14,0.003,0.007,-0.025,0.022,-0.03,0.02
15.45,-0.035,0.157,-0.008,-0.004,-0.043,0.039,-0.03,0.03
15.5,-0.035,0.175,-0.019,-0.014,-0.043,0.057,-0.04,0.03
15.55,-0.035,0.175,-0.028,-0.023,-0.043,0.057,-0.04,0.04
15.6,-0.035,0.192,-0.036,-0.03,-0.043,0.074,-0.04,0.04
15.65,-0.035,0.192,-0.041,-0.036,-0.043,0.074,-0.04,0.04
15.7,-0.035,0.175,-0.043,-0.038,-0.043,0.057,-0.04,0.03
