time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
9.05,0.192,-0.175,0.112,-0.132,0.1143,-0.1191,0.12,-0.13
9.1,0.14,-0.14,0.1,-0.118,0.0623,-0.0841,0.11,-0.11
9.15,0.105,-0.105,0.082,-0.097,0.0273,-0.0491,0.09,-0.09
9.2,0.052,-0.052,0.057,-0.069,-0.0257,0.0039,0.06,-0.06
9.25,0.017,-0.017,0.029,-0.037,-0.0607,0.0389,0.04,-0.03
9.3,-0.035,0.017,-0.001,-0.002,-0.1127,0.0729,0,0
9.35,-0.052,0.052,-0.032,0.033,-0.1297,0.1079,-0.03,0.04
9.4,-0.087,0.07,-0.06,0.065,-0.1647,0.1259,-0.06,0.07
9.45,-0.087,0.087,-0.085,0.093,-0.1647,0.1429,-0.08,0.09
9.5,-0.087,0.087,-0.104,0.114,-0.1647,0.1429,-0.1,0.11
9.55,-0.07,0.087,-0.116,0.127,-0.1477,0.1429,-0.12,0.12
9.6,-0.052,0.07,-0.12,0.132,-0.1297,0.1259,-0.12,0.13
9.65,-0.017,0.035,-0.117,0.127,-0.0947,0.0909,-0.12,0.12
9.7,0.035,0,-0.105,0.113,-0.0427,0.0559,-0.11,0.11
9.75,0.07,-0.035,-0.087,0.091,-0.0077,0.0209,-0.09,0.08
9.8,0.122,-0.07,-0.063,0.063,0.0443,-0.0141,-0.07,0.06
9.85,0.157,-0.105,-0.035,0.031,0.0793,-0.0491,-0.04,0.03
9.9,0.192,-0.14,-0.004,-0.004,0.1143,-0.0841,-0.01,-0.01
9.95,0.227,-0.175,0.026,-0.039,0.1493,-0.1191,0.02,-0.04
10,0.244,-0.192,0.055,-0.071,0.1663,-0.1361,0.05,-0.07
10.05,0.244,-0.209,0.08,-0.098,0.1663,-0.1531,0.08,-0.1
10.1,0.244,-0.209,0.099,-0.119,0.1663,-0.1531,0.1,-0.12
10.15,0.227,-0.192,0.112,-0.132,0.1493,-0.1361,0.12,-0.13
10.2,0.192,-0.175,0.117,-0.135,0.1143,-0.1191,0.12,-0.13
10.25,0.157,-0.14,0.113,-0.13,0.0793,-0.0841,0.12,-0.12
10.3,0.105,-0.105,0.102,-0.116,0.0273,-0.0491,0.11,-0.11
10.35,0.07,-0.07,0.084,-0.094,-0.0077,-0.0141,0.09,-0.09
10.4,0.017,-0.017,0.06,-0.066,-0.0607,0.0389,0.07,-0.06
10.45,-0.017,0.017,0.032,-0.033,-0.0947,0.0729,0.04,-0.03
10.5,-0.052,0.052,0.002,0.001,-0.1297,0.1079,0.01,0
10.55,-0.07,0.07,-0.029,0.036,-0.1477,0.1259,-0.03,0.04
10.6,-0.087,0.087,-0.058,0.067,-0.1647,0.1429,-0.06,0.07
10.65,-0.087,0.087,-0.084,0.094,-0.1647,0.1429,-0.09,0.09
10.7,-0.07,0.087,-0.103,0.115,-0.1477,0.1429,-0.11,0.11
10.75,-0.052,0.07,-0.116,0.127,-0.1297,0.1259,-0.12,0.12
10.8,-0.017,0.052,-0.121,0.131,-0.0947,0.1079,-0.13,0.12
10.85,0.017,0.017,-0.119,0.125,-0.0607,0.0729,-0.13,0.12
10.9,0.07,-0.035,-0.108,0.111,-0.0077,0.0209,-0.12,0.1
10.95,0.105,-0.07,-0.09,0.088,0.0273,-0.0141,-0.1,0.08
11,0.157,-0.105,-0.066,0.06,0.0793,-0.0491,-0.07,0.05
11.05,0.192,-0.14,-0.038,0.028,0.1143,-0.0841,-0.04,0.02
11.1,0.227,-0.175,-0.007,-0.007,0.1493,-0.1191,-0.01,-0.01
11.15,0.244,-0.192,0.024,-0.041,0.1663,-0.1361,0.02,-0.04
11.2,0.244,-0.209,0.053,-0.072,0.1663,-0.1531,0.05,-0.07
11.25,0.244,-0.209,0.079,-0.099,0.1663,-0.1531,0.08,-0.1
11.3,0.227,-0.192,0.099,-0.119,0.1493,-0.1361,0.1,-0.11
11.35,0.192,-0.175,0.113,-0.131,0.1143,-0.1191,0.12,-0.12
11.4,0.157,-0.14,0.118,-0.134,0.0793,-0.0841,0.13,-0.13
11.45,0.122,-0.105,0.116,-0.128,0.0443,-0.0491,0.12,-0.12
11.5,0.07,-0.07,0.105,-0.113,-0.0077,-0.0141,0.11,-0.11
11.55,0.035,-0.035,0.087,-0.091,-0.0427,0.0209,0.09,-0.09
11.6,-0.017,0.017,0.063,-0.063,-0.0947,0.0729,0.07,-0.06
11.65,-0.052,0.035,0.035,-0.031,-0.1297,0.0909,0.04,-0.03
11.7,-0.07,0.07,0.004,0.004,-0.1477,0.1259,0.01,0
11.75,-0.087,0.087,-0.027,0.037,-0.1647,0.1429,-0.03,0.03
11.8,-0.087,0.087,-0.057,0.068,-0.1647,0.1429,-0.06,0.06
11.85,-0.087,0.087,-0.083,0.095,-0.1647,0.1429,-0.09,0.09
11.9,-0.052,0.07,-0.104,0.114,-0.1297,0.1259,-0.11,0.11
11.95,-0.017,0.052,-0.118,0.126,-0.0947,0.1079,-0.13,0.12
12,0.017,0.017,-0.124,0.128,-0.0607,0.0729,-0.13,0.12
12.05,0.052,-0.017,-0.121,0.122,-0.0257,0.0389,-0.13,0.11
12.1,0.105,-0.052,-0.111,0.107,0.0273,0.0039,-0.12,0.1
12.15,0.14,-0.105,-0.093,0.085,0.0623,-0.0491,-0.1,0.08
12.2,0.192,-0.14,-0.069,0.057,0.1143,-0.0841,-0.07,0.05
