time,angle1,angle2
53.3,-0.017,0.035
53.35,-0.035,0.052
53.4,-0.052,0.052
53.45,-0.07,0.052
53.5,-0.052,0.052
53.55,-0.035,0.035
53.6,-0.017,0.017
53.65,0.017,0
53.7,0.052,-0.035
53.75,0.087,-0.07
53.8,0.122,-0.105
53.85,0.157,-0.122
53.9,0.192,-0.157
53.95,0.209,-0.157
54,0.209,-0.175
54.05,0.227,-0.175
54.1,0.209,-0.157
54.15,0.192,-0.14
54.2,0.157,-0.122
54.25,0.122,-0.087
54.3,0.087,-0.052
54.35,0.052,-0.035
54.4,0.017,0
54.45,-0.017,0.017
54.5,-0.035,0.052
54.55,-0.052,0.052
54.6,-0.07,0.052
54.65,-0.052,0.052
54.7,-0.052,0.035
54.75,-0.017,0.017
54.8,0,0
54.85,0.035,-0.035
54.9,0.087,-0.07
54.95,0.122,-0.087
55,0.157,-0.122
